city;district;الرقم المرجعي للصفقة;date;property_type;عدد العقارات;price;area
الطائف;الطائف/ حي البوادي ;32389353;01/10/2025;سكني;1;100 000;619,7
الطائف;الطائف/ الجودية ;32387317;01/10/2025;سكني;1;235 000;750
عرقه;عرقه/أخرى;32126569;01/10/2025;تجاري;1;116 187 500;17 875,00
الرياض;الرياض/السليمانية;32386944;01/10/2025;تجاري;1;37 000 000;1 680,00
الرياض;الرياض/السليمانية;32390169;01/10/2025;سكني;1;1 479 938;360
الرياض;الرياض/الدريهمية;32390117;01/10/2025;سكني;1;809 207;250
الطائف;الطائف/ الشهداء الشمالية ;32389742;01/10/2025;سكني;1;170 000;72
الطائف;الطائف/ الشهداء الشمالية ;32374727;01/10/2025;سكني;1;420 000;200
حوطة بني تميم;حوطة بني تميم/ الورود ;32394673;01/10/2025;سكني;1;800 000;637,5
الطائف;الطائف/ سلطانة ;32395334;01/10/2025;سكني;1;300 000;600
الطائف;الطائف/ أم العراد ;32402463;01/10/2025;سكني;2;1 400 000;893
الرياض;الرياض/الروابى;32404220;01/10/2025;سكني;1;367 216;121,38
الرياض;الرياض/الرمال;32402037;01/10/2025;سكني;1;650 000;174,69
الرياض;الرياض/الفاخرية;32389284;01/10/2025;سكني;1;1 230 000;322
الرياض;الرياض/الجرادية;32389178;01/10/2025;سكني;1;100 000;98,32
الرياض;الرياض/الرمال;32402786;01/10/2025;سكني;1;1 900 000;307,5
الافلاج;الافلاج/ اليمامة ;32389474;01/10/2025;سكني;1;50 000;502
الافلاج;الافلاج/ الريان ;32400582;01/10/2025;سكني;1;60 000;360
الافلاج;الافلاج/ الريان ;32381003;01/10/2025;سكني;1;40 000;360
المجارده;المجارده/أخرى;32400704;01/10/2025;سكني;1;70 000;497,35
الرياض;الرياض/الصفاء;32400993;01/10/2025;سكني;1;1 020 000;240
الرياض;الرياض/الصفاء;32403562;01/10/2025;سكني;1;1 248 438;293,75
الرياض;الرياض/الصفاء;32402429;01/10/2025;سكني;1;1 020 000;240
الرياض;الرياض/الصفاء;32402197;01/10/2025;سكني;1;1 020 000;240
الرياض;الرياض/الصفاء;32402125;01/10/2025;سكني;1;1 020 000;240
الرياض;الرياض/الصفاء;32401404;01/10/2025;سكني;1;1 020 000;240
الرياض;الرياض/الصفاء;32400193;01/10/2025;سكني;1;1 020 000;240
الرياض;الرياض/الصفاء;32401271;01/10/2025;سكني;1;1 190 000;280
الرياض;الرياض/الصفاء;32402673;01/10/2025;سكني;1;1 248 437;293,75
الرياض;الرياض/الصفاء;32402546;01/10/2025;سكني;1;1 020 000;240
الرياض;الرياض/الصفاء;32401795;01/10/2025;سكني;1;1 020 000;240
الرياض;الرياض/الصفاء;32401186;01/10/2025;سكني;1;1 020 000;240
الرياض;الرياض/الملز;32387755;01/10/2025;سكني;1;12 976 591;625
